term,lemma,lang,type,pos
estream egin,stream,eu,verb_light_construction,VERB
estream egiten,stream,eu,verb_light_construction,VERB
estream egingo,stream,eu,verb_light_construction,VERB
estream egin du,stream,eu,verb_light_construction,VERB
estream egin zen,stream,eu,verb_light_construction,VERB
estreamatu,stream,eu,verb_morph_integrated,VERB
estreamatzen,stream,eu,verb_habitual,VERB
like,like,eu,noun_raw,NOUN
likea,like,eu,noun_integrated_sg,NOUN
likeak,like,eu,noun_integrated_pl,NOUN
like egin,like,eu,verb_light_construction,VERB
like egiten,like,eu,verb_light_construction,VERB
like egingo,like,eu,verb_light_construction,VERB
like egin du,like,eu,verb_light_construction,VERB
like egin zen,like,eu,verb_light_construction,VERB
likatu,like,eu,verb_morph_integrated,VERB
likatzen,like,eu,verb_habitual,VERB
scroll,scroll,eu,noun_raw,NOUN
eskrolla,scroll,eu,noun_integrated_sg,NOUN
eskrollak,scroll,eu,noun_integrated_pl,NOUN
eskroll egin,scroll,eu,verb_light_construction,VERB
eskroll egiten,scroll,eu,verb_light_construction,VERB
eskroll egingo,scroll,eu,verb_light_construction,VERB
eskroll egin du,scroll,eu,verb_light_construction,VERB
eskroll egin zen,scroll,eu,verb_light_construction,VERB
eskrollatu,scroll,eu,verb_morph_integrated,VERB
eskrollatzen,scroll,eu,verb_habitual,VERB
update,update,eu,noun_raw,NOUN
updatea,update,eu,noun_integrated_sg,NOUN
updateak,update,eu,noun_integrated_pl,NOUN
update egin,update,eu,verb_light_construction,VERB
update egiten,update,eu,verb_light_construction,VERB
update egingo,update,eu,verb_light_construction,VERB
update egin du,update,eu,verb_light_construction,VERB
update egin zen,update,eu,verb_light_construction,VERB
updatatu,update,eu,verb_morph_integrated,VERB
updatatzen,update,eu,verb_habitual,VERB
forward,forward,eu,noun_raw,NOUN
forwarda,forward,eu,noun_integrated_sg,NOUN
forwardak,forward,eu,noun_integrated_pl,NOUN
forward egin,forward,eu,verb_light_construction,VERB
forward egiten,forward,eu,verb_light_construction,VERB
forward egingo,forward,eu,verb_light_construction,VERB
forward egin du,forward,eu,verb_light_construction,VERB
forward egin zen,forward,eu,verb_light_construction,VERB
forwardatu,forward,eu,verb_morph_integrated,VERB
forwardatzen,forward,eu,verb_habitual,VERB
spam,spam,eu,noun_raw,NOUN
espama,spam,eu,noun_integrated_sg,NOUN
espamak,spam,eu,noun_integrated_pl,NOUN
espam egin,spam,eu,verb_light_construction,VERB
espam egiten,spam,eu,verb_light_construction,VERB
espam egingo,spam,eu,verb_light_construction,VERB
espam egin du,spam,eu,verb_light_construction,VERB
espam egin zen,spam,eu,verb_light_construction,VERB
espamatu,spam,eu,verb_morph_integrated,VERB
espamatzen,spam,eu,verb_habitual,VERB
check,check,eu,noun_raw,NOUN
txeka,check,eu,noun_integrated_sg,NOUN
txekak,check,eu,noun_integrated_pl,NOUN
txek egin,check,eu,verb_light_construction,VERB
txek egiten,check,eu,verb_light_construction,VERB
txek egingo,check,eu,verb_light_construction,VERB
txek egin du,check,eu,verb_light_construction,VERB
txek egin zen,check,eu,verb_light_construction,VERB
txekatu,check,eu,verb_morph_integrated,VERB
txekatzen,check,eu,verb_habitual,VERB
spoiler,spoiler,eu,noun_raw,NOUN
espoilera,spoiler,eu,noun_integrated_sg,NOUN
espoilerak,spoiler,eu,noun_integrated_pl,NOUN
espoiler egin,spoiler,eu,verb_light_construction,VERB
espoiler egiten,spoiler,eu,verb_light_construction,VERB
espoiler egingo,spoiler,eu,verb_light_construction,VERB
espoiler egin du,spoiler,eu,verb_light_construction,VERB
espoiler egin zen,spoiler,eu,verb_light_construction,VERB
espoileratu,spoiler,eu,verb_morph_integrated,VERB
espoileratzen,spoiler,eu,verb_habitual,VERB
troll,troll,eu,noun_raw,NOUN
trolla,troll,eu,noun_integrated_sg,NOUN
trollak,troll,eu,noun_integrated_pl,NOUN
troll egin,troll,eu,verb_light_construction,VERB
troll egiten,troll,eu,verb_light_construction,VERB
troll egingo,troll,eu,verb_light_construction,VERB
troll egin du,troll,eu,verb_light_construction,VERB
troll egin zen,troll,eu,verb_light_construction,VERB
trollatu,troll,eu,verb_morph_integrated,VERB
trollatzen,troll,eu,verb_habitual,VERB
bug,bug,eu,noun_raw,NOUN
buga,bug,eu,noun_integrated_sg,NOUN
bugak,bug,eu,noun_integrated_pl,NOUN
server,server,eu,noun_raw,NOUN
servera,server,eu,noun_integrated_sg,NOUN
serverak,server,eu,noun_integrated_pl,NOUN
cloud,cloud,eu,noun_raw,NOUN
klouda,cloud,eu,noun_integrated_sg,NOUN
kloudak,cloud,eu,noun_integrated_pl,NOUN
software,software,eu,noun_raw,NOUN
softwarea,software,eu,noun_integrated_sg,NOUN
softwareak,software,eu,noun_integrated_pl,NOUN
hardware,hardware,eu,noun_raw,NOUN
hardwarea,hardware,eu,noun_integrated_sg,NOUN
hardwareak,hardware,eu,noun_integrated_pl,NOUN
online,online,eu,noun_raw,NOUN
onlinea,online,eu,noun_integrated_sg,NOUN
onlineak,online,eu,noun_integrated_pl,NOUN
interface,interface,eu,noun_raw,NOUN
interfakea,interface,eu,noun_integrated_sg,NOUN
interfakeak,interface,eu,noun_integrated_pl,NOUN
user,user,eu,noun_raw,NOUN
usera,user,eu,noun_integrated_sg,NOUN
userak,user,eu,noun_integrated_pl,NOUN
bot,bot,eu,noun_raw,NOUN
bota,bot,eu,noun_integrated_sg,NOUN
botak,bot,eu,noun_integrated_pl,NOUN
app,app,eu,noun_raw,NOUN
appa,app,eu,noun_integrated_sg,NOUN
appak,app,eu,noun_integrated_pl,NOUN
pixel,pixel,eu,noun_raw,NOUN
pixela,pixel,eu,noun_integrated_sg,NOUN
pixelak,pixel,eu,noun_integrated_pl,NOUN
click,click,el,cs_latin_raw,NOUN
κάνω click,click,el,verb_light_latin,VERB
κάνει click,click,el,verb_light_latin,VERB
έκανε click,click,el,verb_light_latin,VERB
κάνοντας click,click,el,verb_light_latin,VERB
κλικ,click,el,noun_transliterated,NOUN
κάνω κλικ,click,el,verb_light_greek,VERB
κάνει κλικ,click,el,verb_light_greek,VERB
έκανε κλικ,click,el,verb_light_greek,VERB
κάνοντας κλικ,click,el,verb_light_greek,VERB
κλικάρω,click,el,verb_morph_aro,VERB
κλικαρισμένος,click,el,verb_participle,VERB
post,post,el,cs_latin_raw,NOUN
κάνω post,post,el,verb_light_latin,VERB
κάνει post,post,el,verb_light_latin,VERB
έκανε post,post,el,verb_light_latin,VERB
κάνοντας post,post,el,verb_light_latin,VERB
ποστ,post,el,noun_transliterated,NOUN
κάνω ποστ,post,el,verb_light_greek,VERB
κάνει ποστ,post,el,verb_light_greek,VERB
έκανε ποστ,post,el,verb_light_greek,VERB
κάνοντας ποστ,post,el,verb_light_greek,VERB
ποστάρω,post,el,verb_morph_aro,VERB
ποσταρισμένος,post,el,verb_participle,VERB
chat,chat,el,cs_latin_raw,NOUN
κάνω chat,chat,el,verb_light_latin,VERB
κάνει chat,chat,el,verb_light_latin,VERB
έκανε chat,chat,el,verb_light_latin,VERB
κάνοντας chat,chat,el,verb_light_latin,VERB
τσατ,chat,el,noun_transliterated,NOUN
κάνω τσατ,chat,el,verb_light_greek,VERB
κάνει τσατ,chat,el,verb_light_greek,VERB
έκανε τσατ,chat,el,verb_light_greek,VERB
κάνοντας τσατ,chat,el,verb_light_greek,VERB
τσατάρω,chat,el,verb_morph_aro,VERB
τσαταρισμένος,chat,el,verb_participle,VERB
link,link,el,cs_latin_raw,NOUN
κάνω link,link,el,verb_light_latin,VERB
κάνει link,link,el,verb_light_latin,VERB
έκανε link,link,el,verb_light_latin,VERB
κάνοντας link,link,el,verb_light_latin,VERB
λινκ,link,el,noun_transliterated,NOUN
κάνω λινκ,link,el,verb_light_greek,VERB
κάνει λινκ,link,el,verb_light_greek,VERB
έκανε λινκ,link,el,verb_light_greek,VERB
κάνοντας λινκ,link,el,verb_light_greek,VERB
λινκάρω,link,el,verb_morph_aro,VERB
λινκαρισμένος,link,el,verb_participle,VERB
tag,tag,el,cs_latin_raw,NOUN
κάνω tag,tag,el,verb_light_latin,VERB
κάνει tag,tag,el,verb_light_latin,VERB
έκανε tag,tag,el,verb_light_latin,VERB
κάνοντας tag,tag,el,verb_light_latin,VERB
ταγκ,tag,el,noun_transliterated,NOUN
κάνω ταγκ,tag,el,verb_light_greek,VERB
κάνει ταγκ,tag,el,verb_light_greek,VERB
έκανε ταγκ,tag,el,verb_light_greek,VERB
κάνοντας ταγκ,tag,el,verb_light_greek,VERB
ταγκάρω,tag,el,verb_morph_aro,VERB
ταγκαρισμένος,tag,el,verb_participle,VERB
tweet,tweet,el,cs_latin_raw,NOUN
κάνω tweet,tweet,el,verb_light_latin,VERB
κάνει tweet,tweet,el,verb_light_latin,VERB
έκανε tweet,tweet,el,verb_light_latin,VERB
κάνοντας tweet,tweet,el,verb_light_latin,VERB
τουίτ,tweet,el,noun_transliterated,NOUN
κάνω τουίτ,tweet,el,verb_light_greek,VERB
κάνει τουίτ,tweet,el,verb_light_greek,VERB
έκανε τουίτ,tweet,el,verb_light_greek,VERB
κάνοντας τουίτ,tweet,el,verb_light_greek,VERB
τουιτάρω,tweet,el,verb_morph_aro,VERB
τουιταρισμένος,tweet,el,verb_participle,VERB
scan,scan,el,cs_latin_raw,NOUN
κάνω scan,scan,el,verb_light_latin,VERB
κάνει scan,scan,el,verb_light_latin,VERB
έκανε scan,scan,el,verb_light_latin,VERB
κάνοντας scan,scan,el,verb_light_latin,VERB
σκαν,scan,el,noun_transliterated,NOUN
κάνω σκαν,scan,el,verb_light_greek,VERB
κάνει σκαν,scan,el,verb_light_greek,VERB
έκανε σκαν,scan,el,verb_light_greek,VERB
κάνοντας σκαν,scan,el,verb_light_greek,VERB
σκανάρω,scan,el,verb_morph_aro,VERB
σκαναρισμένος,scan,el,verb_participle,VERB
format,format,el,cs_latin_raw,NOUN
κάνω format,format,el,verb_light_latin,VERB
κάνει format,format,el,verb_light_latin,VERB
έκανε format,format,el,verb_light_latin,VERB
κάνοντας format,format,el,verb_light_latin,VERB
φορμάτ,format,el,noun_transliterated,NOUN
κάνω φορμάτ,format,el,verb_light_greek,VERB
κάνει φορμάτ,format,el,verb_light_greek,VERB
έκανε φορμάτ,format,el,verb_light_greek,VERB
κάνοντας φορμάτ,format,el,verb_light_greek,VERB
φορματάρω,format,el,verb_morph_aro,VERB
φορματαρισμένος,format,el,verb_participle,VERB
hack,hack,el,cs_latin_raw,NOUN
κάνω hack,hack,el,verb_light_latin,VERB
κάνει hack,hack,el,verb_light_latin,VERB
έκανε hack,hack,el,verb_light_latin,VERB
κάνοντας hack,hack,el,verb_light_latin,VERB
χακ,hack,el,noun_transliterated,NOUN
κάνω χακ,hack,el,verb_light_greek,VERB
κάνει χακ,hack,el,verb_light_greek,VERB
έκανε χακ,hack,el,verb_light_greek,VERB
κάνοντας χακ,hack,el,verb_light_greek,VERB
χακάρω,hack,el,verb_morph_aro,VERB
χακαρισμένος,hack,el,verb_participle,VERB
ban,ban,el,cs_latin_raw,NOUN
κάνω ban,ban,el,verb_light_latin,VERB
κάνει ban,ban,el,verb_light_latin,VERB
έκανε ban,ban,el,verb_light_latin,VERB
κάνοντας ban,ban,el,verb_light_latin,VERB
μπαν,ban,el,noun_transliterated,NOUN
κάνω μπαν,ban,el,verb_light_greek,VERB
κάνει μπαν,ban,el,verb_light_greek,VERB
έκανε μπαν,ban,el,verb_light_greek,VERB
κάνοντας μπαν,ban,el,verb_light_greek,VERB
μπανάρω,ban,el,verb_morph_aro,VERB
μπαναρισμένος,ban,el,verb_participle,VERB
log,log,el,cs_latin_raw,NOUN
κάνω log,log,el,verb_light_latin,VERB
κάνει log,log,el,verb_light_latin,VERB
έκανε log,log,el,verb_light_latin,VERB
κάνοντας log,log,el,verb_light_latin,VERB
λογκ,log,el,noun_transliterated,NOUN
κάνω λογκ,log,el,verb_light_greek,VERB
κάνει λογκ,log,el,verb_light_greek,VERB
έκανε λογκ,log,el,verb_light_greek,VERB
κάνοντας λογκ,log,el,verb_light_greek,VERB
λογκάρω,log,el,verb_morph_aro,VERB
λογκαρισμένος,log,el,verb_participle,VERB
reset,reset,el,cs_latin_raw,NOUN
κάνω reset,reset,el,verb_light_latin,VERB
κάνει reset,reset,el,verb_light_latin,VERB
έκανε reset,reset,el,verb_light_latin,VERB
κάνοντας reset,reset,el,verb_light_latin,VERB
ρισέτ,reset,el,noun_transliterated,NOUN
κάνω ρισέτ,reset,el,verb_light_greek,VERB
κάνει ρισέτ,reset,el,verb_light_greek,VERB
έκανε ρισέτ,reset,el,verb_light_greek,VERB
κάνοντας ρισέτ,reset,el,verb_light_greek,VERB
ρισετάρω,reset,el,verb_morph_aro,VERB
ρισεταρισμένος,reset,el,verb_participle,VERB
download,download,el,cs_latin_raw,NOUN
κάνω download,download,el,verb_light_latin,VERB
κάνει download,download,el,verb_light_latin,VERB
έκανε download,download,el,verb_light_latin,VERB
κάνοντας download,download,el,verb_light_latin,VERB
νταουνλόουντ,download,el,noun_transliterated,NOUN
κάνω νταουνλόουντ,download,el,verb_light_greek,VERB
κάνει νταουνλόουντ,download,el,verb_light_greek,VERB
έκανε νταουνλόουντ,download,el,verb_light_greek,VERB
κάνοντας νταουνλόουντ,download,el,verb_light_greek,VERB
νταουνλοουντάρω,download,el,verb_morph_aro,VERB
νταουνλοουνταρισμένος,download,el,verb_participle,VERB
stream,stream,el,cs_latin_raw,NOUN
κάνω stream,stream,el,verb_light_latin,VERB
κάνει stream,stream,el,verb_light_latin,VERB
έκανε stream,stream,el,verb_light_latin,VERB
κάνοντας stream,stream,el,verb_light_latin,VERB
στριμ,stream,el,noun_transliterated,NOUN
κάνω στριμ,stream,el,verb_light_greek,VERB
κάνει στριμ,stream,el,verb_light_greek,VERB
έκανε στριμ,stream,el,verb_light_greek,VERB
κάνοντας στριμ,stream,el,verb_light_greek,VERB
στριμάρω,stream,el,verb_morph_aro,VERB
στριμαρισμένος,stream,el,verb_participle,VERB
like,like,el,cs_latin_raw,NOUN
κάνω like,like,el,verb_light_latin,VERB
κάνει like,like,el,verb_light_latin,VERB
έκανε like,like,el,verb_light_latin,VERB
κάνοντας like,like,el,verb_light_latin,VERB
λάικ,like,el,noun_transliterated,NOUN
κάνω λάικ,like,el,verb_light_greek,VERB
κάνει λάικ,like,el,verb_light_greek,VERB
έκανε λάικ,like,el,verb_light_greek,VERB
κάνοντας λάικ,like,el,verb_light_greek,VERB
λαικάρω,like,el,verb_morph_aro,VERB
λαικαρισμένος,like,el,verb_participle,VERB
scroll,scroll,el,cs_latin_raw,NOUN
κάνω scroll,scroll,el,verb_light_latin,VERB
κάνει scroll,scroll,el,verb_light_latin,VERB
έκανε scroll,scroll,el,verb_light_latin,VERB
κάνοντας scroll,scroll,el,verb_light_latin,VERB
σκρολ,scroll,el,noun_transliterated,NOUN
κάνω σκρολ,scroll,el,verb_light_greek,VERB
κάνει σκρολ,scroll,el,verb_light_greek,VERB
έκανε σκρολ,scroll,el,verb_light_greek,VERB
κάνοντας σκρολ,scroll,el,verb_light_greek,VERB
σκρολάρω,scroll,el,verb_morph_aro,VERB
σκρολαρισμένος,scroll,el,verb_participle,VERB
update,update,el,cs_latin_raw,NOUN
κάνω update,update,el,verb_light_latin,VERB
κάνει update,update,el,verb_light_latin,VERB
έκανε update,update,el,verb_light_latin,VERB
κάνοντας update,update,el,verb_light_latin,VERB
απντέιτ,update,el,noun_transliterated,NOUN
κάνω απντέιτ,update,el,verb_light_greek,VERB
κάνει απντέιτ,update,el,verb_light_greek,VERB
έκανε απντέιτ,update,el,verb_light_greek,VERB
κάνοντας απντέιτ,update,el,verb_light_greek,VERB
απντειτάρω,update,el,verb_morph_aro,VERB
απντειταρισμένος,update,el,verb_participle,VERB
forward,forward,el,cs_latin_raw,NOUN
κάνω forward,forward,el,verb_light_latin,VERB
κάνει forward,forward,el,verb_light_latin,VERB
έκανε forward,forward,el,verb_light_latin,VERB
κάνοντας forward,forward,el,verb_light_latin,VERB
φόργουορντ,forward,el,noun_transliterated,NOUN
κάνω φόργουορντ,forward,el,verb_light_greek,VERB
κάνει φόργουορντ,forward,el,verb_light_greek,VERB
έκανε φόργουορντ,forward,el,verb_light_greek,VERB
κάνοντας φόργουορντ,forward,el,verb_light_greek,VERB
φοργουορντάρω,forward,el,verb_morph_aro,VERB
φοργουορνταρισμένος,forward,el,verb_participle,VERB
spam,spam,el,cs_latin_raw,NOUN
κάνω spam,spam,el,verb_light_latin,VERB
κάνει spam,spam,el,verb_light_latin,VERB
έκανε spam,spam,el,verb_light_latin,VERB
κάνοντας spam,spam,el,verb_light_latin,VERB
σπαμ,spam,el,noun_transliterated,NOUN
κάνω σπαμ,spam,el,verb_light_greek,VERB
κάνει σπαμ,spam,el,verb_light_greek,VERB
έκανε σπαμ,spam,el,verb_light_greek,VERB
κάνοντας σπαμ,spam,el,verb_light_greek,VERB
σπαμάρω,spam,el,verb_morph_aro,VERB
σπαμαρισμένος,spam,el,verb_participle,VERB
check,check,el,cs_latin_raw,NOUN
κάνω check,check,el,verb_light_latin,VERB
κάνει check,check,el,verb_light_latin,VERB
έκανε check,check,el,verb_light_latin,VERB
κάνοντας check,check,el,verb_light_latin,VERB
τσεκ,check,el,noun_transliterated,NOUN
κάνω τσεκ,check,el,verb_light_greek,VERB
κάνει τσεκ,check,el,verb_light_greek,VERB
έκανε τσεκ,check,el,verb_light_greek,VERB
κάνοντας τσεκ,check,el,verb_light_greek,VERB
τσεκάρω,check,el,verb_morph_aro,VERB
τσεκαρισμένος,check,el,verb_participle,VERB
spoiler,spoiler,el,cs_latin_raw,NOUN
κάνω spoiler,spoiler,el,verb_light_latin,VERB
κάνει spoiler,spoiler,el,verb_light_latin,VERB
έκανε spoiler,spoiler,el,verb_light_latin,VERB
κάνοντας spoiler,spoiler,el,verb_light_latin,VERB
σπόιλερ,spoiler,el,noun_transliterated,NOUN
κάνω σπόιλερ,spoiler,el,verb_light_greek,VERB
κάνει σπόιλερ,spoiler,el,verb_light_greek,VERB
έκανε σπόιλερ,spoiler,el,verb_light_greek,VERB
κάνοντας σπόιλερ,spoiler,el,verb_light_greek,VERB
σποιλεράρω,spoiler,el,verb_morph_aro,VERB
σποιλεραρισμένος,spoiler,el,verb_participle,VERB
troll,troll,el,cs_latin_raw,NOUN
κάνω troll,troll,el,verb_light_latin,VERB
κάνει troll,troll,el,verb_light_latin,VERB
έκανε troll,troll,el,verb_light_latin,VERB
κάνοντας troll,troll,el,verb_light_latin,VERB
τρολ,troll,el,noun_transliterated,NOUN
κάνω τρολ,troll,el,verb_light_greek,VERB
κάνει τρολ,troll,el,verb_light_greek,VERB
έκανε τρολ,troll,el,verb_light_greek,VERB
κάνοντας τρολ,troll,el,verb_light_greek,VERB
τρολάρω,troll,el,verb_morph_aro,VERB
τρολαρισμένος,troll,el,verb_participle,VERB
bug,bug,el,cs_latin_raw,NOUN
μπαγκ,bug,el,noun_transliterated,NOUN
server,server,el,cs_latin_raw,NOUN
σέρβερ,server,el,noun_transliterated,NOUN
cloud,cloud,el,cs_latin_raw,NOUN
κλάουντ,cloud,el,noun_transliterated,NOUN
software,software,el,cs_latin_raw,NOUN
σόφτγουερ,software,el,noun_transliterated,NOUN
hardware,hardware,el,cs_latin_raw,NOUN
χάρντγουερ,hardware,el,noun_transliterated,NOUN
online,online,el,cs_latin_raw,NOUN
ονλάιν,online,el,noun_transliterated,NOUN
interface,interface,el,cs_latin_raw,NOUN
ιντερφέις,interface,el,noun_transliterated,NOUN
user,user,el,cs_latin_raw,NOUN
γιούζερ,user,el,noun_transliterated,NOUN
bot,bot,el,cs_latin_raw,NOUN
μποτ,bot,el,noun_transliterated,NOUN
app,app,el,cs_latin_raw,NOUN
απ,app,el,noun_transliterated,NOUN
pixel,pixel,el,cs_latin_raw,NOUN
πίξελ,pixel,el,noun_transliterated,NOUN
backgammon,backgammon,ast,wiktionary_en,-
filme,filme,ast,wiktionary_en,-
lleva,lleva,ast,wiktionary_en,-
líder,líder,ast,wiktionary_en,-
monis,monis,ast,wiktionary_en,-
polu,polu,ast,wiktionary_en,-
tractor,tractor,ast,wiktionary_en,-
watt,watt,ast,wiktionary_en,-
Ḥawai,Ḥawai,ast,wiktionary_en,-
abadexu,abadexu,ast,wiktionary_es,-
abandonar,abandonar,ast,wiktionary_es,-
abetu,abetu,ast,wiktionary_es,-
aguacate,aguacate,ast,wiktionary_es,-
alambre,alambre,ast,wiktionary_es,-
Alexandru,Alexandru,ast,wiktionary_es,-
allexar,allexar,ast,wiktionary_es,-
arguyu,arguyu,ast,wiktionary_es,-
arzobispu,arzobispu,ast,wiktionary_es,-
automóvil,automóvil,ast,wiktionary_es,-
añoranza,añoranza,ast,wiktionary_es,-
bandera,bandera,ast,wiktionary_es,-
brazalete,brazalete,ast,wiktionary_es,-
bufanda,bufanda,ast,wiktionary_es,-
cai,cai,ast,wiktionary_es,-
cangrexu,cangrexu,ast,wiktionary_es,-
cerveza,cerveza,ast,wiktionary_es,-
ciencia,ciencia,ast,wiktionary_es,-
conciencia,conciencia,ast,wiktionary_es,-
cucaracha,cucaracha,ast,wiktionary_es,-
cudiar,cudiar,ast,wiktionary_es,-
cuidáu,cuidáu,ast,wiktionary_es,-
desarrollar,desarrollar,ast,wiktionary_es,-
deuda,deuda,ast,wiktionary_es,-
doctor,doctor,ast,wiktionary_es,-
Don Quixote,Don Quixote,ast,wiktionary_es,-
dotor,dotor,ast,wiktionary_es,-
echar,echar,ast,wiktionary_es,-
escuchar,escuchar,ast,wiktionary_es,-
falda,falda,ast,wiktionary_es,-
furacán,furacán,ast,wiktionary_es,-
guai,guai,ast,wiktionary_es,-
güelga,güelga,ast,wiktionary_es,-
hacha,hacha,ast,wiktionary_es,-
hacia,hacia,ast,wiktionary_es,-
haiga,haiga,ast,wiktionary_es,-
hospital,hospital,ast,wiktionary_es,-
impuestu,impuestu,ast,wiktionary_es,-
lladriyu,lladriyu,ast,wiktionary_es,-
llevadura,llevadura,ast,wiktionary_es,-
llexos,llexos,ast,wiktionary_es,-
llimitar,llimitar,ast,wiktionary_es,-
mariposa,mariposa,ast,wiktionary_es,-
médicu,médicu,ast,wiktionary_es,-
nación,nación,ast,wiktionary_es,-
nivel,nivel,ast,wiktionary_es,-
ocho,ocho,ast,wiktionary_es,-
paella,paella,ast,wiktionary_es,-
pauta,pauta,ast,wiktionary_es,-
piraña,piraña,ast,wiktionary_es,-
piḥu,piḥu,ast,wiktionary_es,-
planchar,planchar,ast,wiktionary_es,-
plomu,plomu,ast,wiktionary_es,-
retrete,retrete,ast,wiktionary_es,-
rodiya,rodiya,ast,wiktionary_es,-
seguridá,seguridá,ast,wiktionary_es,-
sombriya,sombriya,ast,wiktionary_es,-
tenedor,tenedor,ast,wiktionary_es,-
terraza,terraza,ast,wiktionary_es,-
tiza,tiza,ast,wiktionary_es,-
tostador,tostador,ast,wiktionary_es,-
usté,usté,ast,wiktionary_es,-
xamón,xamón,ast,wiktionary_es,-
xastre,xastre,ast,wiktionary_es,-
zanahoria,zanahoria,ast,wiktionary_es,-
ḥenu,ḥenu,ast,wiktionary_es,-
bridge,bridge,eu,wiktionary_en,-
copyleft,copyleft,eu,wiktionary_en,-
copyright,copyright,eu,wiktionary_en,-
dolar,dolar,eu,wiktionary_en,-
porlan,porlan,eu,wiktionary_en,-
quark,quark,eu,wiktionary_en,-
squash,squash,eu,wiktionary_en,-
xanpu,xanpu,eu,wiktionary_en,-
ababor,ababor,eu,wiktionary_es,-
abade,abade,eu,wiktionary_es,-
abadesa,abadesa,eu,wiktionary_es,-
abadia,abadia,eu,wiktionary_es,-
abakando,abakando,eu,wiktionary_es,-
abako,abako,eu,wiktionary_es,-
abal,abal,eu,wiktionary_es,-
abandonu,abandonu,eu,wiktionary_es,-
abangoardismo,abangoardismo,eu,wiktionary_es,-
abangoardista,abangoardista,eu,wiktionary_es,-
abantaila,abantaila,eu,wiktionary_es,-
abarizia,abarizia,eu,wiktionary_es,-
abdikazio,abdikazio,eu,wiktionary_es,-
abdomen,abdomen,eu,wiktionary_es,-
abdukzio,abdukzio,eu,wiktionary_es,-
abemaria,abemaria,eu,wiktionary_es,-
abenka,abenka,eu,wiktionary_es,-
abentura,abentura,eu,wiktionary_es,-
aberrazio,aberrazio,eu,wiktionary_es,-
abiazio,abiazio,eu,wiktionary_es,-
abil,abil,eu,wiktionary_es,-
abilidade,abilidade,eu,wiktionary_es,-
abioneta,abioneta,eu,wiktionary_es,-
abisal,abisal,eu,wiktionary_es,-
abisu,abisu,eu,wiktionary_es,-
abitu,abitu,eu,wiktionary_es,-
abixoi,abixoi,eu,wiktionary_es,-
ablatibo,ablatibo,eu,wiktionary_es,-
ablazio,ablazio,eu,wiktionary_es,-
abolizio,abolizio,eu,wiktionary_es,-
abolizionismo,abolizionismo,eu,wiktionary_es,-
abolizionista,abolizionista,eu,wiktionary_es,-
abonu,abonu,eu,wiktionary_es,-
aborigen,aborigen,eu,wiktionary_es,-
abortu,abortu,eu,wiktionary_es,-
abrasio,abrasio,eu,wiktionary_es,-
abrigo,abrigo,eu,wiktionary_es,-
abrigu,abrigu,eu,wiktionary_es,-
absentismo,absentismo,eu,wiktionary_es,-
abside,abside,eu,wiktionary_es,-
absolutibo,absolutibo,eu,wiktionary_es,-
absolutismo,absolutismo,eu,wiktionary_es,-
absolutista,absolutista,eu,wiktionary_es,-
absolutu,absolutu,eu,wiktionary_es,-
absoluzio,absoluzio,eu,wiktionary_es,-
absortzio,absortzio,eu,wiktionary_es,-
abstentzio,abstentzio,eu,wiktionary_es,-
abstinentzia,abstinentzia,eu,wiktionary_es,-
abstraktu,abstraktu,eu,wiktionary_es,-
abstrakzio,abstrakzio,eu,wiktionary_es,-
absurdo,absurdo,eu,wiktionary_es,-
Abundio,Abundio,eu,wiktionary_es,-
abusu,abusu,eu,wiktionary_es,-
abzesu,abzesu,eu,wiktionary_es,-
abzisa,abzisa,eu,wiktionary_es,-
accesit,accesit,eu,wiktionary_es,-
adberbial,adberbial,eu,wiktionary_es,-
adberbio,adberbio,eu,wiktionary_es,-
adenina,adenina,eu,wiktionary_es,-
adiabatiko,adiabatiko,eu,wiktionary_es,-
aerobik,aerobik,eu,wiktionary_es,-
aerobiko,aerobiko,eu,wiktionary_es,-
aerobio,aerobio,eu,wiktionary_es,-
aerodinamika,aerodinamika,eu,wiktionary_es,-
aerodinamiko,aerodinamiko,eu,wiktionary_es,-
aerodromo,aerodromo,eu,wiktionary_es,-
aeroespazial,aeroespazial,eu,wiktionary_es,-
aeroklub,aeroklub,eu,wiktionary_es,-
aerolito,aerolito,eu,wiktionary_es,-
aerometro,aerometro,eu,wiktionary_es,-
aeromodelismo,aeromodelismo,eu,wiktionary_es,-
aeronauta,aeronauta,eu,wiktionary_es,-
aeronautika,aeronautika,eu,wiktionary_es,-
aeronautiko,aeronautiko,eu,wiktionary_es,-
aeroplano,aeroplano,eu,wiktionary_es,-
aerosol,aerosol,eu,wiktionary_es,-
aerostatika,aerostatika,eu,wiktionary_es,-
aerostato,aerostato,eu,wiktionary_es,-
Afganistan,Afganistan,eu,wiktionary_es,-
agata,agata,eu,wiktionary_es,-
agresibo,agresibo,eu,wiktionary_es,-
aire,aire,eu,wiktionary_es,-
akademiko,akademiko,eu,wiktionary_es,-
Akitania,Akitania,eu,wiktionary_es,-
aktibo,aktibo,eu,wiktionary_es,-
albaitari,albaitari,eu,wiktionary_es,-
Albania,Albania,eu,wiktionary_es,-
albarikoke,albarikoke,eu,wiktionary_es,-
alboroke,alboroke,eu,wiktionary_es,-
aleman,aleman,eu,wiktionary_es,-
Alemania,Alemania,eu,wiktionary_es,-
alkandora,alkandora,eu,wiktionary_es,-
alkatxofa,alkatxofa,eu,wiktionary_es,-
